BCProviderRegistry
=========================================

Generic: line 0, col 0, Warning - The HTML fragment 'ip-statements.xhtml' is not included anywhere in the produced implementation guide (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json: line 156, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#ORG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json: line 167, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#AE) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json: line 180, col 12, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-organization-role-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json: line 180, col 12, Error - None of the codings provided are in the value set 'BC Organization Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-organization-role-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-organization-role-code-system#ORG) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json: line 93, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json: line 93, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json: line 62, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddOrganization-Bundle.json: line 62, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 1, col 2, Error - Slice 'Bundle.entry:Practitioner': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 1, col 2, Error - Slice 'Bundle.entry:PractitionerRole': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 98, col 18, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 109, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 120, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 425, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 425, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 465, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 465, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 98, col 18, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 109, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 120, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 425, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 425, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 465, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 465, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 519, col 12, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 519, col 12, Error - None of the codings provided are in the value set 'BC Language Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-language-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system#B01) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 576, col 12, Error - A definition for CodeSystem 'http://fhir.infoway-inforoute.ca/CodeSystem/scptype' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Batch-Bundle-Response.json: line 576, col 12, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 1, col 2, Error - Slice 'Bundle.entry:Practitioner': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 1, col 2, Error - Slice 'Bundle.entry:PractitionerRole': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 171, col 18, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 182, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 193, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 91, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 91, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 121, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 121, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 171, col 18, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 182, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 193, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 91, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 91, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 121, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 121, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 148, col 12, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 148, col 12, Error - None of the codings provided are in the value set 'BC Language Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-language-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system#B01) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 391, col 12, Error - A definition for CodeSystem 'http://fhir.infoway-inforoute.ca/CodeSystem/scptype' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle.json: line 391, col 12, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 1, col 2, Error - Slice 'Bundle.entry:Practitioner': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 1, col 2, Error - Slice 'Bundle.entry:PractitionerRole': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 98, col 18, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 109, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 120, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 425, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 425, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 465, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 465, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 98, col 18, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 109, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 120, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 425, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 425, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 465, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 465, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-AddPractitioner-Bundle-Response.json: line 519, col 12, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system' could not be found, so the code cannot be validated (NOTFOUND)
